Course Reference Number,Skill Title,Course Title,About This Course,What You'll Learn,skill_lower,Sector Relevance,proficiency_level,reason,confidence,proficiency_level_rac_chart,reason_rac_chart,confidence_rac_chart
TGS-2020513374,Flight Performance Data Calculation,Hospitality Industry Analytics - Synchronous elearning,Participants will learn to interpret key hotel analytics by calculation of various performance metrics and analyse hotel revenue management to determine key performance indicators. This is achieved by applying basic techniques employed in the property level benchmarking and hotel industry performance reports.,"1. Brief introduction to the hospitality business_x000D_
_x000D_
2. Computation of the key hotel rooms performance indicators of Average Room Rate (AOR), Occupancy Rate (OCC), and Revenue Per Available Room (RevPAR)_x000D_
_x000D_
3. Reading and interpretation of hotel rooms performance reports (property-level, STB and relevant industry generated reports)_x000D_
_x000D_
4. Analysis of property-level rooms performance as benchmarked against a competitive set, and basic decision-making based on the analysis",flight performance data calculation,In Sector,0,"The course focuses on hotel analytics and performance metrics, not flight performance data calculation.",high,0.0,"The provided course content and skill taught are related to hospitality industry analytics and hotel performance metrics, which do not align with the knowledge and abilities associated with flight performance data calculation as defined in the Knowledge Base.",high
TGS-2021007159,Service Leadership,Basics of Training Needs & Skills Gap Analysis (Synchronous e-learning),"The course covers the following:_x000D_
- Assess and identify the skills and competencies required in job roles using recognised skills frameworks_x000D_
- Assess critical performance gaps from available sources in the organisation_x000D_
- Align training with department / organisational performance objectives _x000D_
- Conduct a training needs and skills gap analysis for a team_x000D_
","This training programme, delivered by the National Centre of Excellence for Workplace Learning, will help participants understand the different stages of a Training Needs Analysis (TNA) as well as a skills gap analysis. Identifying skills gaps accurately will help leaders hone in on the right areas to train and prioritise training efforts.",service leadership,In Sector,0,"The course focuses on training needs and skills gap analysis, not directly on service leadership.",high,0.0,"The course content does not directly address the knowledge and abilities associated with service leadership as defined in the Knowledge Base. The focus is on training needs analysis and skills gap analysis, which do not align with the specific requirements for service leadership proficiency levels.",high
TGS-2020513482,Cargo Tracking Systems Administration,Merchandise Performance Analysis (SF - Manager),"As business lists more and more products unto the web and on various online platforms, it has become important to implement product mix assessment checks against various factors such as merchandise budgets and sales targets, opportunities to improve sales for product range and/or product categories for both online and offline. _x000D_
_x000D_
In this module, participants will develop processes to analyse profit performance of merchandise, evaluate trends of profitability and identify opportunities to adjust range of merchandise for their online and offline business and to create an O2O product strategy.","The module will cover the following areas:_x000D_
_x000D_
- Understand Merchandise strategies and plans and features of an effective merchandising plan_x000D_
- Recognise trends on products and merchandise consumption_x000D_
- Understand mark ups, margins and retail price computations and methods to calculate sales contributions_x000D_
- Understand sales tracking systems and technologies_x000D_
- Utilise statistical modelling and data-mining techniques_x000D_
- Calculate or estimate overall contributions according to store merchandising plans and category marketing plans_x000D_
- Utilise framework for merchandise performance analysis_x000D_
- Manage product range assessment checks against budgets and targets_x000D_
- Evaluate opportunities to adjust merchandise ranges to improve sales_x000D_
- Evaluate supplier selection criteria",cargo tracking systems administration,In Sector,0,"The course focuses on merchandise performance analysis and sales tracking, not on cargo tracking systems administration.",high,0.0,"The course content provided does not include any specific mention or detailed description of cargo tracking systems administration. The focus is on merchandise performance analysis, sales tracking, and related areas.",low
TGS-2021002325,Cargo Tracking Systems Administration,Merchandise Performance Analysis (SF - Manager) [Synchronous E-Learning],"As business lists more and more products unto the web and on various online platforms, it has become important to implement product mix assessment checks against various factors such as merchandise budgets and sales targets, opportunities to improve sales for product range and/or product categories for both online and offline. _x000D_
_x000D_
In this module, participants will develop processes to analyse profit performance of merchandise, evaluate trends of profitability and identify opportunities to adjust range of merchandise for their online and offline business and to create an O2O product strategy.","The module will cover the following areas:_x000D_
_x000D_
- Understand Merchandise strategies and plans and features of an effective merchandising plan_x000D_
- Recognise trends on products and merchandise consumption_x000D_
- Understand mark ups, margins and retail price computations and methods to calculate sales contributions_x000D_
- Understand sales tracking systems and technologies_x000D_
- Utilise statistical modelling and data-mining techniques_x000D_
- Calculate or estimate overall contributions according to store merchandising plans and category marketing plans_x000D_
- Utilise framework for merchandise performance analysis_x000D_
- Manage product range assessment checks against budgets and targets_x000D_
- Evaluate opportunities to adjust merchandise ranges to improve sales_x000D_
- Evaluate supplier selection criteria",cargo tracking systems administration,In Sector,0,The course focuses on merchandise performance analysis and does not cover cargo tracking systems administration.,high,0.0,"The course content provided does not explicitly mention cargo tracking systems administration. The skills and knowledge areas listed in the course content are more focused on merchandise performance analysis, sales tracking, and statistical modeling, which do not directly align with the knowledge and abilities associated with cargo tracking systems administration as defined in the Knowledge Base.",low
TGS-2020513063,Food And Beverage Services,Social Media Marketing for Food Services,"This skill describes the ability to set up social media platforms for organization, track social media activities, recommend improvements_x000D_
to social media marketing and promotion, and prepare documentation to collate past outcomes of social media marketing activities.","It includes:_x000D_
â€¢ Types of social media platform, tools and their operation._x000D_
â€¢ Organisational policy and procedures for social media use._x000D_
â€¢ Rules and regulations and terms of use of specific social media platforms._x000D_
â€¢ Track social media activities._x000D_
â€¢ Recommend improvements to marketing and promotion through social media engagement._x000D_
â€¢ Prepare documentation to collate past outcomes of social media marketing activities._x000D_
â€¢ Contribute and participate in execution of social media marketing campaign activities.",food and beverage services,In Sector,0,"The course focuses on social media marketing, not directly on Food and Beverage Services.",high,0.0,"The provided skill 'food and beverage services' does not align with the course content 'Social Media Marketing for Food Services'. The course content focuses on social media marketing activities, which are unrelated to the knowledge and abilities associated with food and beverage services.",high
TGS-2022013511,Food And Beverage Services, Social Media Marketing for Food Services (Synchronous E-Learning),"This skill describes the ability to set up social media platforms for organization, track social media activities, recommend improvements_x000D_
to social media marketing and promotion, and prepare documentation to collate past outcomes of social media marketing activities.","It includes:_x000D_
â€¢ Types of social media platform, tools and their operation._x000D_
â€¢ Organisational policy and procedures for social media use._x000D_
â€¢ Rules and regulations and terms of use of specific social media platforms._x000D_
â€¢ Track social media activities._x000D_
â€¢ Recommend improvements to marketing and promotion through social media engagement._x000D_
â€¢ Prepare documentation to collate past outcomes of social media marketing activities._x000D_
â€¢ Contribute and participate in execution of social media marketing campaign activities.",food and beverage services,In Sector,0,"The course focuses on social media marketing, not directly on food and beverage services.",high,0.0,"The skill 'food and beverage services' does not align with the course content 'Social Media Marketing for Food Services'. The course content focuses on social media marketing skills, which are unrelated to the knowledge and abilities associated with food and beverage services as defined in the Knowledge Base.",high
TGS-2023019752,Fire Prevention And Firefighting,Modular Certificate in Building Services (Electrical) - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF1),"(a)	Principles of Electrical Engineering _x000D_
This module aims to provide basic knowledge in electricity technology. It deals with the concepts and theory in direct and alternating current circuits, which is essential to the understanding of how electricity is being generated, transmitted and consumed. _x000D_
_x000D_
(b)	Building Electrical Systems & Design_x000D_
This module is designed to provide students with a good understanding of the theories behind the design, construction, operation and maintenance of electrical services installation in residential, commercial and industrial buildings. Topics include the design of lighting, power and electrical distribution systems, sizing of cables and circuit protective systems with compliance to the statutory requirements. _x000D_
_x000D_
(c)	Intelligent Buildings_x000D_
This module aims to provide the students with knowledge in the design, applications, installation and operation of smart building systems, such building automation, security and access, and structural cabling systems. Emerging technologies such as the internet of things (IoT), artificial intelligence (AI) and engineering data analytics will also be taught.","The Modular Certificate in Building Services (Electrical) - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF1) is a part-time CET course, consist of the following modules: _x000D_
1) Principles of Electrical Engineering (60hrs)   _x000D_
2) Building Electrical Systems & Design (60hrs)   _x000D_
3) Intelligent Buildings (60hrs)",fire prevention and firefighting,In Sector,0,The course description does not mention fire prevention and firefighting.,high,0.0,"The course content provided does not explicitly cover fire prevention and firefighting. The modules focus on electrical engineering principles, building electrical systems and design, and intelligent buildings, which do not directly relate to the knowledge and abilities required for fire prevention and firefighting as defined in the Knowledge Base.",high
TGS-2023019753,Fire Prevention And Firefighting,Modular Certificate in Building Services (Mechanical) - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF1),"(a)	Basic Air-conditioning _x000D_
This module provides students with knowledge on the basic principles of refrigeration cycles and air distribution systems. Topics include fans, pumps and distribution system, psychometric process and refrigeration system. This module prepares the students for the module, Air-conditioning & Mechanical Ventilation Systems._x000D_
_x000D_
(b)	Air-conditioning & Mechanical Ventilation Systems_x000D_
This module covers the theories, design, equipment selection, installation, operation and maintenance of Air-conditioning and Mechanical Ventilation systems in buildings.  It also covers the provisions in the relevant regulations, Singapore Standards and Codes of Practice._x000D_
_x000D_
(c)	Water, Sanitary & Gas Services_x000D_
This module provides students with the sound working knowledge in the design, installation and operational and maintenance of pipe services such as the water, sanitary and gas supply systems in buildings. Topics include theories of fluid properties, fluid dynamics, Bernoulliâ€™s equation, piping systems, pipe sizing, pumps, pipe friction, hot and cold water supply, swimming pool, sanitary plumbing and drainage systems and gas supply services. Relevant Acts and regulations of the Local Authorities will be covered.","The Modular Certificate in Building Services (Mechanical) - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF1) is a part-time CET course, consist of the following modules: _x000D_
1) Basic Air-conditioning (60hrs)   _x000D_
2) Air-conditioning & Mechanical Ventilation (60hrs)  _x000D_
3) Water, Sanitary & Gas Services (60hrs)",fire prevention and firefighting,In Sector,0,The course description does not mention Fire Prevention And Firefighting.,high,0.0,"The provided course content does not explicitly cover fire prevention and firefighting skills. The modules focus on air-conditioning, mechanical ventilation, water, sanitary, and gas services, which are not directly related to fire prevention and firefighting.",high
TGS-2023019754,Fire Prevention And Firefighting,Modular Certificate in Building Design & Management - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF1),"(a)	BIM (MEP)_x000D_
This module aims to use of Building Information Modelling (BIM) software to design and develop Mechanical, Electrical and Plumbing (MEP) systems from established architectural models. Students will be taught how to coordinate MEP, architecture and structural designs by clash detection techniques provided by BIM software. The use of the as-built models and the information contained therein for BIM Facility Management (BIMFM) and other simulation tools such as energy modelling will also be discussed._x000D_
_x000D_
(b)	Project Management_x000D_
This module seeks to teach the students the rudiments of building and engineering project management. Topics include contract administration, construction and engineering economics and finance, project planning techniques, co-ordination procedure and interfacing of building services into the building fabric._x000D_
_x000D_
(c)	Sustainable Building Construction_x000D_
This module provides students with the basic knowledge on the building construction with green building design features. Topics will include building design basics, green building design features, building materials, design of building elements and building construction process. Relevant codes pertaining to the building construction and green buildings will be covered. Simulation of solar and lighting analysis using BIM Models were also be taught.","The Modular Certificate in Building Design & Management - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF1) is a part-time CET course, consist of the following modules:_x000D_
1) BIM (MEP) (60hrs)  _x000D_
2) Project Management (60hrs)   _x000D_
3) Sustainable Building Construction (60hrs)",fire prevention and firefighting,In Sector,0,The course description does not mention fire prevention and firefighting.,high,0.0,"The course content provided does not explicitly cover fire prevention and firefighting skills. The modules focus on BIM (MEP), project management, and sustainable building construction, which do not directly relate to the knowledge and abilities associated with fire prevention and firefighting as defined in the Knowledge Base.",high
TGS-2023020789,Market Research,Electrical Systems - Part of Post Diploma Certificate in Facility Systems & Technology (DCFM3),"This module provides the participants with the knowledge and understanding of electricity supply, deregulation of energy markets, electrical distribution buildings, lighting systems, and emergency supply. In addition, maintenance requirements, electrical safety procedures, inspection, testing and commissioning of electrical systems will also be covered in this module.",Electrical Systems - Part of Post Diploma Certificate in Facility Systems & Technology (DCFM3) is a 45 hrs module.,market research,In Sector,0,The course description does not cover market research or related skills.,high,0.0,"The course content provided does not include any information related to market research. The skills and knowledge areas covered in the course are focused on electrical systems, electricity supply, energy markets, electrical distribution, lighting systems, emergency supply, maintenance, electrical safety, inspection, testing, and commissioning of electrical systems. There is no mention of market research principles, techniques, or activities.",high
TGS-2023040960,Fire Prevention And Firefighting,Modular Certificate in Building Services (Electrical) - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF2),"This certificate equips students with skills and knowledge in electrical engineering domain related to the Built Environment. Students will learn to design electrical power, lighting, power protection and building automation systems according Singaporeâ€™s Code of Practices.","The Modular Certificate in Building Services (Electrical) - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF2) is a part-time CET course, consist of the following modules:_x000D_
1) Principles of Electrical Engineering (60hrs)_x000D_
2) Building Electrical Systems & Design (60hrs)_x000D_
3) Intelligent and Green Buildings (60hrs)",fire prevention and firefighting,In Sector,0,"The course focuses on electrical engineering and building systems, not specifically on fire prevention and firefighting.",high,0.0,"The course content focuses on electrical engineering and building services, with no specific mention of fire prevention and firefighting skills. The provided Knowledge Base and Reference Document do not align with the course content.",high
TGS-2023040961,Fire Prevention And Firefighting,Modular Certificate in Building Services (Mechanical) - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF2),"This certificate equips students with skills and knowledge of the mechanical engineering domain related to the Built Environment. Students will learn the design of air-conditioning, water, gas and sanitary systems of buildings according Singaporeâ€™s Code of Practices.","The Modular Certificate in Building Services (Mechanical) - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF2) is a part-time CET course, consist of the following modules:_x000D_
1) Basic Air-conditioning (60hrs)_x000D_
2) Air-conditioning & Mechanical Ventilation (60hrs)_x000D_
3) Water, Sanitary & Gas Services (60hrs)",fire prevention and firefighting,In Sector,0,The course description does not mention fire prevention and firefighting.,high,0.0,"The course content provided focuses on mechanical engineering aspects related to building services, such as air-conditioning, water, gas, and sanitary systems. There is no mention of fire prevention and firefighting skills being taught in this course.",high
TGS-2023040962,Fire Prevention And Firefighting,Modular Certificate in Building Design & Management - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF2),"This certificate equips students with skills and knowledge in digital skills, project management and sustainability design related to the Built Environment. Students will also be equipped with skills in Building Modelling Information related to Mechanical, Electrical and Plumbing as well as use project management software to manage projects and design sustainable building elements.","The Modular Certificate in Building Design & Management - Part of Diploma in Engineering (Building Services & Fire Safety) (DEBF2) is a part-time CET course, consist of the following modules:_x000D_
1) Sustainable Building Construction (60hrs)_x000D_
2) Project Management (60hrs)_x000D_
3) BIM (MEP) (60hrs)",fire prevention and firefighting,In Sector,0,The course description does not mention Fire Prevention and Firefighting skills.,high,0.0,"The course content provided does not explicitly cover fire prevention and firefighting skills. The modules listed focus on sustainable building construction, project management, and Building Information Modelling (BIM) for Mechanical, Electrical, and Plumbing (MEP). There is no mention of fire prevention and firefighting in the course description or modules.",high
TGS-2024041825,Aircraft Dispatch,Thermodynamics - Part of Modular Certificate in Thermofluid & HVAC (Elective) (DEM1),"This module aims is to equip students with knowledge on thermodynamics, where the first chapter will be covered to explain the different forms of energy and various processes by which energy is transformed from one form to another. Thereafter, module will focus on applications of basic thermodynamic principles to actual engineering problems. Examples are petrol engines and diesel engines used in cars and trucks, gas turbines in aircrafts and steam turbines in electrical power generation plants. _x000D_
","Thermodynamics - Part of Modular Certificate in Thermofluid & HVAC (Elective) (DEM1) is a 60hrs module_x000D_
",aircraft dispatch,In Sector,0,"The course focuses on thermodynamics principles and applications, not on aircraft dispatch procedures or decision-making.",high,0.0,"The course content focuses on thermodynamics principles and their applications in engineering problems, which does not directly relate to the skill of aircraft dispatch. The knowledge and abilities required for aircraft dispatch, as defined in the Knowledge Base, are not covered in this module.",high
TGS-2024043292,Aircraft Take-Off Operations,Embracing BIM Workflow Processes with CORENET X (Classroom & Synchronous e-learning),"Building Information Modelling (BIM) and workflows are increasingly adopted to improve coordination of construction value chain and reduce reworks. Recently, the Building Construction Authority has mandated that files adhering to the BIM Industry Foundation Classes-Singapore (IFC-SG) guidelines, must be submitted for processing and authority approval. _x000D_
_x000D_
While this process allows for a streamlined, information-rich process, it is a paradigm shift for many users as they must ensure 3 dimension (3D) building models are rich sources of data to assist in compliance checks. As critical sources of data, the models must comply to guidelines and standards for regulators to do data take-offs while processing the submissions.","Through this course, an introduction to CorenetX and Industry Foundation Classes-Singapore (IFC-SG) standards, participants will be empowered with fundamental knowledge on how to use technology tools and processes, evaluate uses cases to have an in-depth understanding of digitalisation of the construction sector. Best practices for the submission process will be covered to ensure participants are equipped with the necessary knowledge for hassle-free submissions.",aircraft take-off operations,In Sector,0,The course description is unrelated to Aircraft Take-Off Operations and focuses on Building Information Modelling (BIM) in construction.,high,0.0,"The course content and skill taught (Building Information Modelling (BIM) and workflows) do not align with the skill 'aircraft take-off operations' as defined in the Knowledge Base. Therefore, it is not possible to determine an appropriate proficiency level for this skill based on the provided information.",high
TGS-2020000213,Aircraft Dispatch,(SBMC) Specialist Diploma in Aviation Management and Services - Passenger Services Management,"The Specialist Diploma in Aviation Management and Services features a curriculum with a strong grounding in theoretical and practical concepts. Focusing on both the technical and managerial aspects of airline and airport operations, this course will equip participants with the knowledge and skills to pursue a rewarding career in the aviation industry.","This module provides an insight to the service quality requirements and standards in the aviation industry. Students will be able to discuss the different operational procedures and processes in passenger flow, and analyze performance measures to determine how passengers are handled. ",aircraft dispatch,In Sector,0,"The course focuses on passenger services management, not on the detailed aspects of aircraft dispatch as described in the proficiency levels.",high,0.0,"The course content focuses on service quality requirements, operational procedures, and performance measures in passenger services management. It does not explicitly cover the detailed knowledge and abilities related to aircraft dispatch as defined in the Knowledge Base.",high
TGS-2020000967,Food And Beverage Services,Analytics for the Hospitality Industry (synchronous e-learning),"With the use of big data, this course helps to establish and trengthen customer satisfaction with insights in implementing engagement strategies.

","
This course teaches the learner to: 
- Understand the importance of Customer Satisfaction.  
- Understand how survey questionnaires are developed. 
- Calculate Customer Satisfaction (C-Sat) and Net Promoter Score (NPS).  
- Understand how C-Sat and NPS is being used in organisations",food and beverage services,In Sector,0,"The course focuses on analytics and customer satisfaction metrics, not directly on Food and Beverage Services.",high,0.0,"The course content and skills taught are focused on customer satisfaction, survey development, and metrics calculation (C-Sat and NPS), which do not directly relate to the knowledge and abilities associated with food and beverage services as defined in the Knowledge Base.",high
TGS-2020500931,Engineering Standards Audit And Assessment,Modular Certificate in Microcontroller and Applications (Synchronous and Asynchronous e-learning) - Part of Part-time Diploma in Engineering (Electrical and Electronics),The Part-Time Diploma in Engineering (Electrical and Electronics) provides participants a good foundation in Electrical and Electronic (EE) engineering to equip them for the diverse and dynamic EE industry. This programme is unique in that it offers two specialisation tracks in specific fields: Microelectronics and Electronic Communications. These are high value-adding sectors in EE industry with very strong demand for skilled and trained EE professionals.,"â€¢ Computer Programming_x000D_
This module introduces students to basics of computer programming and problem solving process. The module focuses on good programming practices, programming concepts and structured programming. Topics to be covered includes program development/coding/ debugging, data types, operators, expressions, control flow (such as conditional statements, loops), functions, data structures, and file access._x000D_
â€¢ Microcontroller Systems_x000D_
The typical architecture of microcontrollers and microcontroller programming are addressed in this module. Students will learn basic topics which include input/output ports, memory architecture, flow charts, LCD controlling, Pulse Width Modulation, and event polling. Students will also learn interesting topics related to interrupts such as external interrupts, timers and timer interrupts, Analog-to-Digital conversion and ADC interrupts, high and low priority interrupts, match output comparison with interrupts and serial communication._x000D_
â€¢ Project_x000D_
Students will work in groups of three to five people to undertake this project module. Under the supervision of a mentor, each team will be expected to define the objectives of the project, develop a plan of action, execute the plan to a reasonable degree, and evaluate its outcomes. Students will also be expected to take corrective action if necessary, and prepare a technical report covering the entire project. Students should bear in mind that a premium will be placed on projects that embrace a multi-disciplinary approach.",engineering standards audit and assessment,In Sector,0,The course description does not mention Engineering Standards Audit And Assessment.,high,0.0,"The course content provided does not explicitly cover the knowledge and abilities associated with engineering standards audit and assessment as defined in the Knowledge Base. The focus is primarily on computer programming, microcontroller systems, and project work, which do not directly relate to audit processes, audit management, or compliance evaluation.",high
TGS-2020504797,Food And Beverage Services,Analytics for the Hospitality Industry,"With the use of big data, this course helps to establish and trengthen customer satisfaction with insights in implementing engagement strategies._x000D_
_x000D_
This course teaches the learner to: _x000D_
- Understand the importance of Customer Satisfaction.  _x000D_
- Understand how survey questionnaires are developed. _x000D_
- Calculate Customer Satisfaction (C-Sat) and Net Promoter Score (NPS).  _x000D_
- Understand how C-Sat and NPS is being used in organisations","By the end of the course, participants will be able to:_x000D_
_x000D_
    Understand how survey questionnaires are developed_x000D_
    Calculate Customer Satisfaction (C-Sat) and Net Promoter Score (NPS)_x000D_
    Understand how C-Sat and NPS is being used in organisations_x000D_
    Apply the concepts and enhance Customer Satisfaction",food and beverage services,In Sector,0,"The course focuses on customer satisfaction analytics, not directly on Food and Beverage Services.",high,0.0,"The course content focuses on analytics, customer satisfaction, and survey methodologies, which do not directly relate to the skill of food and beverage services as defined in the Knowledge Base.",high
TGS-2021005825,Food And Beverage Services,Food Innovation,"As per course description_x000D_
","This module provides students with an overview to the commercialization of intellectual property (IP) and technologies associated with the new product or ingredients development in food industry. Topics for this module include innovation leadership, intellectual property management and legislation, research and business development and commercialization strategies, regulations, and approval processes. Specific topics pertaining to the management of a food business are also addressed. In this module, students will gain the practical approach in new product development and recognize the importance of sustainable innovation for food products. Students will be expected to work on a food development proposal. The scope of work includes study of the market products, develop and optimize the formulations and design product packaging in accordance to the specified regulatory requirements. Students will also be expected to consider the scalability of the product development from the stage of formulations to production as well as developing a prototype for market surveys.",food and beverage services,In Sector,0,"The course focuses on food innovation, IP commercialization, and product development, not specifically on Food and Beverage Services.",high,0.0,"The course content focuses on commercialization of intellectual property, innovation leadership, and new product development in the food industry, which does not directly align with the specific knowledge and abilities associated with food and beverage services as defined in the Knowledge Base.",high
TGS-2022014579,Aircraft Dispatch,Introduction to SAR-66 Module 7 - Maintenance Practices,"At the end of the course, participants will be able to have a basic overview of basic maintenance practices of aircraft, and apply the knowledge in their own working environment. _x000D_
_x000D_
The knowledge will also help participants in their professional communication with customers, suppliers, business partners and authorities.","This introductory course will equip participants with an overview of the Singapore Airworthiness Requirements Part 66 (SAR-66) Module 7 (M7) Maintenance Practices._x000D_
_x000D_
The scope includes :_x000D_
7.1 Safety Precautions - Aircraft and Workshop_x000D_
7.2 Workshop Practices _x000D_
7.3 Tools _x000D_
7.4 Avionics General Test Equipment _x000D_
7.5 Engineering Drawings, Diagrams and Standards_x000D_
7.6 Fits and Clearances_x000D_
7.7 Electrical Wiring Interconnection Systems (EWIS)_x000D_
7.8 Riveting _x000D_
7.9 Pipes and Hoses _x000D_
7.10 Springs _x000D_
7.11 Bearings _x000D_
7.12 Transmissions_x000D_
7.13 Control Cables _x000D_
7.14 Material Handling_x000D_
7.15 Welding, Brazing, Soldering and Bonding _x000D_
7.16 Aircraft Weight and Balance _x000D_
7.17 Aircraft Handling and Storage _x000D_
7.18 Disassembly, Inspection, Repair, and Assembly Techniques _x000D_
7.19 Abnormal Events _x000D_
7.20 Maintenance Procedures _x000D_
_x000D_
The course will be conducted by experienced instructors in a classroom setting. There is also a short assessment conducted at the end of the course.",aircraft dispatch,In Sector,0,"The course focuses on basic maintenance practices, not on the advanced dispatch skills required for proficiency levels 4 or 5.",high,0.0,The course content focuses on providing a basic overview of maintenance practices and does not cover the detailed knowledge and abilities required for aircraft dispatch as defined in the Knowledge Base.,high
TGS-2022014742,Aircraft Dispatch,Introduction to SAR-66 Module 6 - Materials & Hardware,"By the end of the course, participants will be able to:_x000D_
1)	demonstrate an understanding of the fundamental concepts behind the use of different aircraft engineering materials covering ferrous materials, non-ferrous materials, composite and non-metallic structures including the corrosion mechanism_x000D_
2)	identify and describe the applications of the different types of fasteners, springs, bearings, pulleys configurations and hydraulic pipes/unions/fittings that are used in aircraft_x000D_
3)	describe basic mechanical transmission system that uses various types of gears, belts and screws_x000D_
4)	describe function of control cables, their construction and types of control cable components, and electrical cables and connectors","This introductory course will equip participants with an overview of the SAR-66 Module 6 (M6) Materials and Hardware._x000D_
The scope includes :_x000D_
6.1 & 6.2. Aircraft Materials - Ferrous and Non Ferrous_x000D_
6.3. Aircraft Materials - Composite and non metallic_x000D_
6.4. Corrosion _x000D_
6.5. Fasteners_x000D_
6.6. Pipes and Unions_x000D_
6.7 Springs _x000D_
6.8 Bearings _x000D_
6.9 Transmissions_x000D_
6.10 Control Cables _x000D_
6.11 Electrical Cables and Connectors_x000D_
_x000D_
The course will be conducted by experienced instructors in a classroom setting. There is also a short assessment conducted at the end of the course._x000D_
_x000D_
At the end of the course, participants will be able to have a basic overview of materials and hardware used on aircraft, and apply the knowledge in their own working environment. The knowledge will also help participants in their professional communication with customers, suppliers, business partners and authorities.",aircraft dispatch,In Sector,0,"The course focuses on materials and hardware, not on flight dispatch procedures or decision-making.",high,0.0,"The course content focuses on providing a basic overview of materials and hardware used on aircraft, which does not align with the advanced knowledge and abilities required for proficiency levels 4 and 5 in aircraft dispatch as defined in the Knowledge Base.",high
TGS-2023035083,Food And Beverage Services,Launching your Startup,Incorporating a business is one of the most important steps of launching your startup. Understanding incorporation procedures are necessary to ensure the successful launch of a small business. ,"In this one day workshop, participants will also understand the compliance requirements and come up with a plan to stay on top of them. 

Topics include:
Incorporation
Taxes in Singapore
Company Law
Incentives and Grants
Filing Requirements",food and beverage services,In Sector,0,"The course focuses on business incorporation and compliance, not on food and beverage services.",high,0.0,"The course content and skills taught are related to business incorporation, taxes, company law, incentives, grants, and filing requirements, which are not relevant to food and beverage services. Therefore, it is not possible to determine an appropriate proficiency level for the skill 'food and beverage services' based on the provided information.",high
TGS-2023035528,Flight Deck Communications,Introduction to SAR-66 Module 5 - Digital Techniques and Electronic Instrument Systems,"This introductory course will equip participants with an overview of the SAR-66 Module 5 (M5) Digital Techniques and Electronic Instrument Systems for modern aircraft._x000D_
_x000D_
The scope includes :   _x000D_
1. Operation, application and use of numbering systems_x000D_
2. Operation of logic circuits including latches, flip-flops and memory devices _x000D_
3. Data conversion including the use of data buses and fibre optics in aircraft communication_x000D_
4. Basic computer structure and software management control in aviation _x000D_
5. Review the impact of EMI/EMC in an electromagnetic environment and the importance of electrostatic handling (ESD) _x000D_
6. Principles and operation of aircraft instrument systems_x000D_
_x000D_
At the end of the course, participants will be able to have basic understanding of digital techniques and electronic instrument system and apply the knowledge in their own working environment. The knowledge will also help participants in their professional communication with customers, suppliers, business partners and authorities.",Refer to Course Objective,flight deck communications,In Sector,0,"The course focuses on digital techniques and electronic instrument systems, not specifically on flight deck communications.",high,0.0,"The course content focuses on basic understanding and application of digital techniques and electronic instrument systems, but does not specifically cover the detailed knowledge and abilities associated with flight deck communications as defined in the Knowledge Base.",high
