Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
Fashion & Fabrics (Intermediate Women's Pants),TGS-2023021853,FASHION MAKERSPACE PTE. LTD.,201511693K,SSG-WSQ,"This course will enable learners to master the production of pants for both mass market and different body types, therefore bringing manufacturing skills closer to home._x000D_
_x000D_
1. Intermediate Tailored Pants Drafting Techniques_x000D_
- Master the technique and formula to create pants that will fit different body types_x000D_
- Manipulate their pants to develop different variations in cutting and designs_x000D_
- Develop awareness on how to alter and fit pants for different leg shapes_x000D_
2. Advanced Sewing Techniques_x000D_
- Explore more advanced sewing techniques using more unique tools and sewing machine parts to enhance productivity and aesthetics_x000D_
- Enhance the quality of their future projects through learning how to finish tailored pants professionally using British tailoring methods_x000D_
3. Principles of Tailored Pants Fabrics and their Characteristics_x000D_
- Understand the practicality and functionality of materials and their applications_x000D_
- Able to judge and select the suitable material types to make it relevant for current demands and/or for the specific occasion wear _x000D_
- Calculate material and fabric consumption for each tailored pants project_x000D_
","This course covers the tailoring process of womenswear pants right from scratch to the end product. Learners will be armed with a range of sewing and drafting skills for the pants. As these methods can be used in both mass and high-end markets, learners can thereafter be able to adapt from these skills and find the techniques or methods that best cater to their occupational needs.",Precision Manufacturing Process,Cutting,FASHION MAKERSPACE PTE. LTD.,SSG-WSQ,N
Fashion & Fabrics (Intermediate Couture Cheongsam),TGS-2023022189,FASHION MAKERSPACE PTE. LTD.,201511693K,SSG-WSQ,"This course will enable the traditional construction methods of cheongsam to suit our modern production methods. Because this course focuses on the bespoke method of production, the skills they learn will enable them to either follow or simplify the techniques according to their occupational requirements. _x000D_
_x000D_
1. Intermediate Cheongsam Patternmaking Techniques_x000D_
- Manipulate basic block patterns to create cheongsams with different variations in cutting and designs_x000D_
- Adapt traditional methods to modern methods to enhance productivity and functionality_x000D_
2. Advanced Sewing Techniques_x000D_
- Explore more advanced sewing techniques using more unique tools and sewing machine parts to enhance productivity and aesthetics_x000D_
- Enhance the quality of their future projects through learning how to add on a lining layer and how to finish garments professionally_x000D_
3. Principles of Cheongsam Fabrics and their Characteristics_x000D_
- Understand the traditional selections of materials and their applications_x000D_
- Select the suitable material types to make it relevant for current demands and/or for the specific occasion wear _x000D_
- Calculate material and fabric consumptions for each Cheongsam project_x000D_
",This course covers the methods used for the high-end bespoke market in constructing the iconic cheongsam right from taking measurements to sewing the end product. Learners will utilize modern construction techniques and adapt from traditional methods to create a professionally finished cheongsam. Thereafter they can adapt from these skills to find the methods that best cater to their occupational needs.,Precision Manufacturing Process,Cutting,FASHION MAKERSPACE PTE. LTD.,SSG-WSQ,N
WSQ Advanced Digital Marketing Analytics (Google Analytics),TGS-2021010333,EQUINET ACADEMY PRIVATE LIMITED,201708981D,SSG-WSQ,"By the end of the class, you will be able to:_x000D_
_x000D_
â€¢ Understand in detail how data is collected and measured, and its legal and privacy implications_x000D_
â€¢ Assess strategies and create a comprehensive measurement plan, selecting the most appropriate metrics to measure within analytics for more effective analysis and business outcomes_x000D_
â€¢ Organize a Google Analytics account into a properly structured setup for your business_x000D_
â€¢ Propose appropriate configurations in Google Analytics for specific business requirements_x000D_
â€¢ Develop specific Google Analytics reports based on segmentation and customizations to generate deeper insights_x000D_
â€¢ Analyse Google Analytics data to articulate business implications based on internal and market data analysis","Brands are beginning to realise that rudimentary data analysis isnâ€™t sufficient to paint the full picture of how consumers engage with their brands. Without a holistic understanding of consumer behaviour across multi-channel interaction points, little can be done to improve marketing performance._x000D_
_x000D_
This intensive two-day Advanced Digital Marketing Analytics (GAIQ Certification) training course is designed to stretch your comfort level with Google Analytics and guide you through the technical aspects of the platform to extract maximum data insights._x000D_
_x000D_
The instructional methods combine a healthy balance of theory with plenty of hands-on exercises, designed to explore advanced analytics concepts such as enhanced data capturing and analysis capabilities that will bring your understanding of digital marketing analytics to the next level._x000D_
_x000D_
You will learn, amongst other important concepts, how to track extensive data points across multiple-domains & devices, collect deeper user behaviour insights, set up ecommerce tracking, and customise data specific to a businessâ€™s needs with Google Analytics. Through this, you will be able to simplify data analysis and obtain deeper insights to drive important business decisions._x000D_
_x000D_
Google Analytics Individual Qualification (GAIQ) Certification_x000D_
_x000D_
Achieving the Google Analytics Individual Qualification (GAIQ) certification demonstrates competency in basic and advanced Google Analytics concepts. Upon achieving a passing score of at least 80%, you will attain a Google Analytics Individual Qualification certificate, awarded by Google. The certificate is valid for 12 months from the date of passing the exam._x000D_
_x000D_
This course covers concepts and topics similar to the GAIQ certification study resources at Google SkillShop, adding on real world case studies and more advanced concepts. Trainees of this course will be entitled to complimentary prep sessions to revise and take the GAIQ assessment after the course.",Productivity and Innovation,Innovation Management,EQUINET ACADEMY PRIVATE LIMITED,SSG-WSQ,N
WSQ Ecommerce Strategy,TGS-2023021898,EQUINET ACADEMY PRIVATE LIMITED,201708981D,SSG-WSQ,"By the end of the class, trainees will be able to:_x000D_
_x000D_
â€¢ Conceptualise an ecommerce business from scratch_x000D_
â€¢ Identify and add trending products to the product inventory_x000D_
â€¢ Define a target audience to market and sell to _x000D_
â€¢ Conduct competitor analysis within the ecommerce landscape to devise competitive strategies_x000D_
â€¢ Define and develop a brand identify and clear brand message for an ecommerce business _x000D_
â€¢ Create a set of processes to operate an ecommerce business with minimal and streamlined resources_x000D_
â€¢ Identify the right platforms to build an ecommerce business on_x000D_
â€¢ Plan the setup of an ecommerce storefront and/or e-market place to facilitate the sales of products online_x000D_
â€¢ Develop an ecommerce digital marketing strategy and go-to-market plan","Ecommerce has become the best and easiest way to sell your products. With an ecommerce business, you can sell whenever and wherever you want, without worries of maintaining a brick-and-mortar store. _x000D_
_x000D_
While many want to try their hands at running or managing an ecommerce business, it can be difficult to know where to start. In this course, you will be guided from start to finish on building an ecommerce business. _x000D_
_x000D_
From deciding on a product catalogue to creating a digital marketing strategy, this 2-day course covers everything you need to know to run a successful ecommerce business._x000D_
_x000D_
Led by an expert trainer and success in ecommerce, you will be closely guided through the process, using a mix of both theory and practical exercises. Trainees will leave this course understanding how to conceptualise a business from scratch, identify target audiences, and develop a strong brand identity, among other critical elements.",Business and Organisational Management,Competitive Business Strategy,EQUINET ACADEMY PRIVATE LIMITED,SSG-WSQ,N
Practical Management Skills for the Secretaries and Personal Assistants,TGS-2020511111,Singapore Institute of Management Group Limited,201933324M,SSG-NON-WSQ,"As an important member of the team, an effective secretary must maintain high levels of service delivery to achieve the organisation's objectives. This programme highlights the importance of your role and aims to prepare you with the necessary information to handle your duties and manage the demands of your role successfully.","Programme Outline
1) Know your Role as a Secretary / Personal Assistant
The secretary / personal assistant as an ideal 'office manager' and team leader
Skills for 'survival' and managing your future (globalisation!)
Your place in the 'lean' and 'mean' organisations 
Creating a positive and harmonious working environment

2) Becoming a Team Leader and Motivational Techniques
Becoming an effective team leader and managing more professionally
Enhancing working relationships with bosses, peers and secretaries/administrative assistants
Maintaining peoples self-esteem and adopt win-win strategies

3) Approach to a Better Working Relationship with Bosses
Understanding bosses expectations
Know how to prioritise and stay focus

4) Positive EQ Skills: Tact and Skills in Handling People
IQ vs. EQ: What it means to your career!
Putting EQ to work at the workplace!
How to Present and Communicate Your Ideas more Professionally to Management
The Dos and Don'ts of Effective Written Communication
The Importance of writing in Clear and Unambiguous internationally acceptable English
The ABCs of Writing Techniques (Case Exercise)
Language Use and Active Vocabulary: Clarity and Precision
Say It Right: Pronouncing and articulating words and phonemes correctly in Standard English (British Model)
Knowing the 44 phonetic symbols (phonemes) and standard speech sounds (International Phonetic Alphabet) (IPA)  

5) How to Take Criticisms and Give Constructive Criticisms Positively
Taking unfair criticisms positively without being defensive
Giving constructive criticisms to promote team effort
Knowing the differences between aggressive, passive, assertive and manipulative behaviour styles
Feedback: Prescriptive and objective language ",Manufacturing and Operations,Precision Measurement,Singapore Institute of Management Group Limited,SSG-NON-WSQ,N
Practical Management Skills for the Secretaries and Personal Assistants,TGS-2020511111,Singapore Institute of Management Group Limited,201933324M,SSG-NON-WSQ,"As an important member of the team, an effective secretary must maintain high levels of service delivery to achieve the organisation's objectives. This programme highlights the importance of your role and aims to prepare you with the necessary information to handle your duties and manage the demands of your role successfully.","Programme Outline
1) Know your Role as a Secretary / Personal Assistant
The secretary / personal assistant as an ideal 'office manager' and team leader
Skills for 'survival' and managing your future (globalisation!)
Your place in the 'lean' and 'mean' organisations 
Creating a positive and harmonious working environment

2) Becoming a Team Leader and Motivational Techniques
Becoming an effective team leader and managing more professionally
Enhancing working relationships with bosses, peers and secretaries/administrative assistants
Maintaining peoples self-esteem and adopt win-win strategies

3) Approach to a Better Working Relationship with Bosses
Understanding bosses expectations
Know how to prioritise and stay focus

4) Positive EQ Skills: Tact and Skills in Handling People
IQ vs. EQ: What it means to your career!
Putting EQ to work at the workplace!
How to Present and Communicate Your Ideas more Professionally to Management
The Dos and Don'ts of Effective Written Communication
The Importance of writing in Clear and Unambiguous internationally acceptable English
The ABCs of Writing Techniques (Case Exercise)
Language Use and Active Vocabulary: Clarity and Precision
Say It Right: Pronouncing and articulating words and phonemes correctly in Standard English (British Model)
Knowing the 44 phonetic symbols (phonemes) and standard speech sounds (International Phonetic Alphabet) (IPA)  

5) How to Take Criticisms and Give Constructive Criticisms Positively
Taking unfair criticisms positively without being defensive
Giving constructive criticisms to promote team effort
Knowing the differences between aggressive, passive, assertive and manipulative behaviour styles
Feedback: Prescriptive and objective language ",Organisational Development,Vision Leadership,Singapore Institute of Management Group Limited,SSG-NON-WSQ,N
Digital Leadership in the Age of AI,TGS-2020504010,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"This course aims to provide leaders on how to lead their organization and people in the digital age, leveraging digital technologies to accelerate business model changes and achieve meaningful digital transformation.","This course will address the companiesâ€™ lack of knowledge related to digital leadership and expertise in:_x000D_
1.	Digitalization, to develop digital business model, identifying the required digital technologies, _x000D_
establish the corresponding system & competency to support the technology adoption. _x000D_
2.	Develop with systematic approach to explore initiatives needed for digitalization.",Business and Organisational Management,Business Innovation,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Innovative Product Design and Prototyping,TGS-2020513189,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"This course module is designed for and targeted at engineers or PMETs who have a degree or background knowledge of mechanical or product design and interested in the knowledge and skills pertaining to new product development process. Through our innovative Learn-Practise-Implement plus mentorship training module, which is essentially different from the conventional classroom teaching, we are confident that we can deliver the course contents and meet the course objective in total 42 training hours as defined in this module._x000D_
_x000D_
Through the course, the learners would be able to upgrade their skills, enhance the companiesâ€™ competence on product development including concept modelling, prototyping and fabrication, and Design for Manufacturing and Assembly (DFMA), expand companiesâ€™ business with wider product range, and help to secure business in this new product regime.","This course lets learners to explore, learn and apply state-of-the-art digital design, modelling and digital fabrication competences in high-value industrial sectors. They will learn in-depth knowledge about product innovation, concept modelling, and fabrication process. This course offers learners hands-on experiences of product design, innovation, and fabrication processes. Over the 42 hours training, learners work individually or in small groups to design a customized and personalized product of their own and build it using various fabrication methods, including 3D printing, laser cutting, foam cutting, polymer joining etc. They develop multiple prototypes throughout the course, iterating and refining their design. Beyond the product design and prototyping, the learner will understand the properties of engineering materials as well as the nature of manufacturing process technologies, and therefore, be able to apply Design for Manufacturing and Assembly (DFMA) guidelines throughout the journey of product design. Similarly important is the study on Quality Management System (QMS), which is always required in complex product development. As a result, the course develops a broad skillset applicable to a range of careers in industry that require both creative thinking as well as digital and technological competences.",Business and Organisational Management,Business Innovation,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Innovative Product Design and Prototyping,TGS-2020513189,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"This course module is designed for and targeted at engineers or PMETs who have a degree or background knowledge of mechanical or product design and interested in the knowledge and skills pertaining to new product development process. Through our innovative Learn-Practise-Implement plus mentorship training module, which is essentially different from the conventional classroom teaching, we are confident that we can deliver the course contents and meet the course objective in total 42 training hours as defined in this module._x000D_
_x000D_
Through the course, the learners would be able to upgrade their skills, enhance the companiesâ€™ competence on product development including concept modelling, prototyping and fabrication, and Design for Manufacturing and Assembly (DFMA), expand companiesâ€™ business with wider product range, and help to secure business in this new product regime.","This course lets learners to explore, learn and apply state-of-the-art digital design, modelling and digital fabrication competences in high-value industrial sectors. They will learn in-depth knowledge about product innovation, concept modelling, and fabrication process. This course offers learners hands-on experiences of product design, innovation, and fabrication processes. Over the 42 hours training, learners work individually or in small groups to design a customized and personalized product of their own and build it using various fabrication methods, including 3D printing, laser cutting, foam cutting, polymer joining etc. They develop multiple prototypes throughout the course, iterating and refining their design. Beyond the product design and prototyping, the learner will understand the properties of engineering materials as well as the nature of manufacturing process technologies, and therefore, be able to apply Design for Manufacturing and Assembly (DFMA) guidelines throughout the journey of product design. Similarly important is the study on Quality Management System (QMS), which is always required in complex product development. As a result, the course develops a broad skillset applicable to a range of careers in industry that require both creative thinking as well as digital and technological competences.",Manufacturing and Operations,Manufacturing Technology,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Innovative Product Design and Prototyping,TGS-2020513189,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"This course module is designed for and targeted at engineers or PMETs who have a degree or background knowledge of mechanical or product design and interested in the knowledge and skills pertaining to new product development process. Through our innovative Learn-Practise-Implement plus mentorship training module, which is essentially different from the conventional classroom teaching, we are confident that we can deliver the course contents and meet the course objective in total 42 training hours as defined in this module._x000D_
_x000D_
Through the course, the learners would be able to upgrade their skills, enhance the companiesâ€™ competence on product development including concept modelling, prototyping and fabrication, and Design for Manufacturing and Assembly (DFMA), expand companiesâ€™ business with wider product range, and help to secure business in this new product regime.","This course lets learners to explore, learn and apply state-of-the-art digital design, modelling and digital fabrication competences in high-value industrial sectors. They will learn in-depth knowledge about product innovation, concept modelling, and fabrication process. This course offers learners hands-on experiences of product design, innovation, and fabrication processes. Over the 42 hours training, learners work individually or in small groups to design a customized and personalized product of their own and build it using various fabrication methods, including 3D printing, laser cutting, foam cutting, polymer joining etc. They develop multiple prototypes throughout the course, iterating and refining their design. Beyond the product design and prototyping, the learner will understand the properties of engineering materials as well as the nature of manufacturing process technologies, and therefore, be able to apply Design for Manufacturing and Assembly (DFMA) guidelines throughout the journey of product design. Similarly important is the study on Quality Management System (QMS), which is always required in complex product development. As a result, the course develops a broad skillset applicable to a range of careers in industry that require both creative thinking as well as digital and technological competences.",Precision Manufacturing Process,Machining,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Innovative Product Design and Prototyping,TGS-2020513189,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"This course module is designed for and targeted at engineers or PMETs who have a degree or background knowledge of mechanical or product design and interested in the knowledge and skills pertaining to new product development process. Through our innovative Learn-Practise-Implement plus mentorship training module, which is essentially different from the conventional classroom teaching, we are confident that we can deliver the course contents and meet the course objective in total 42 training hours as defined in this module._x000D_
_x000D_
Through the course, the learners would be able to upgrade their skills, enhance the companiesâ€™ competence on product development including concept modelling, prototyping and fabrication, and Design for Manufacturing and Assembly (DFMA), expand companiesâ€™ business with wider product range, and help to secure business in this new product regime.","This course lets learners to explore, learn and apply state-of-the-art digital design, modelling and digital fabrication competences in high-value industrial sectors. They will learn in-depth knowledge about product innovation, concept modelling, and fabrication process. This course offers learners hands-on experiences of product design, innovation, and fabrication processes. Over the 42 hours training, learners work individually or in small groups to design a customized and personalized product of their own and build it using various fabrication methods, including 3D printing, laser cutting, foam cutting, polymer joining etc. They develop multiple prototypes throughout the course, iterating and refining their design. Beyond the product design and prototyping, the learner will understand the properties of engineering materials as well as the nature of manufacturing process technologies, and therefore, be able to apply Design for Manufacturing and Assembly (DFMA) guidelines throughout the journey of product design. Similarly important is the study on Quality Management System (QMS), which is always required in complex product development. As a result, the course develops a broad skillset applicable to a range of careers in industry that require both creative thinking as well as digital and technological competences.",Precision Manufacturing Process,Material Joining,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Innovative Product Design and Prototyping,TGS-2020513189,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"This course module is designed for and targeted at engineers or PMETs who have a degree or background knowledge of mechanical or product design and interested in the knowledge and skills pertaining to new product development process. Through our innovative Learn-Practise-Implement plus mentorship training module, which is essentially different from the conventional classroom teaching, we are confident that we can deliver the course contents and meet the course objective in total 42 training hours as defined in this module._x000D_
_x000D_
Through the course, the learners would be able to upgrade their skills, enhance the companiesâ€™ competence on product development including concept modelling, prototyping and fabrication, and Design for Manufacturing and Assembly (DFMA), expand companiesâ€™ business with wider product range, and help to secure business in this new product regime.","This course lets learners to explore, learn and apply state-of-the-art digital design, modelling and digital fabrication competences in high-value industrial sectors. They will learn in-depth knowledge about product innovation, concept modelling, and fabrication process. This course offers learners hands-on experiences of product design, innovation, and fabrication processes. Over the 42 hours training, learners work individually or in small groups to design a customized and personalized product of their own and build it using various fabrication methods, including 3D printing, laser cutting, foam cutting, polymer joining etc. They develop multiple prototypes throughout the course, iterating and refining their design. Beyond the product design and prototyping, the learner will understand the properties of engineering materials as well as the nature of manufacturing process technologies, and therefore, be able to apply Design for Manufacturing and Assembly (DFMA) guidelines throughout the journey of product design. Similarly important is the study on Quality Management System (QMS), which is always required in complex product development. As a result, the course develops a broad skillset applicable to a range of careers in industry that require both creative thinking as well as digital and technological competences.",Precision Manufacturing Process,Product and Machine Assembly,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Innovative Product Design and Prototyping,TGS-2020513189,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"This course module is designed for and targeted at engineers or PMETs who have a degree or background knowledge of mechanical or product design and interested in the knowledge and skills pertaining to new product development process. Through our innovative Learn-Practise-Implement plus mentorship training module, which is essentially different from the conventional classroom teaching, we are confident that we can deliver the course contents and meet the course objective in total 42 training hours as defined in this module._x000D_
_x000D_
Through the course, the learners would be able to upgrade their skills, enhance the companiesâ€™ competence on product development including concept modelling, prototyping and fabrication, and Design for Manufacturing and Assembly (DFMA), expand companiesâ€™ business with wider product range, and help to secure business in this new product regime.","This course lets learners to explore, learn and apply state-of-the-art digital design, modelling and digital fabrication competences in high-value industrial sectors. They will learn in-depth knowledge about product innovation, concept modelling, and fabrication process. This course offers learners hands-on experiences of product design, innovation, and fabrication processes. Over the 42 hours training, learners work individually or in small groups to design a customized and personalized product of their own and build it using various fabrication methods, including 3D printing, laser cutting, foam cutting, polymer joining etc. They develop multiple prototypes throughout the course, iterating and refining their design. Beyond the product design and prototyping, the learner will understand the properties of engineering materials as well as the nature of manufacturing process technologies, and therefore, be able to apply Design for Manufacturing and Assembly (DFMA) guidelines throughout the journey of product design. Similarly important is the study on Quality Management System (QMS), which is always required in complex product development. As a result, the course develops a broad skillset applicable to a range of careers in industry that require both creative thinking as well as digital and technological competences.",Product Development,Engineering Product Design,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Innovative Product Design and Prototyping,TGS-2020513189,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"This course module is designed for and targeted at engineers or PMETs who have a degree or background knowledge of mechanical or product design and interested in the knowledge and skills pertaining to new product development process. Through our innovative Learn-Practise-Implement plus mentorship training module, which is essentially different from the conventional classroom teaching, we are confident that we can deliver the course contents and meet the course objective in total 42 training hours as defined in this module._x000D_
_x000D_
Through the course, the learners would be able to upgrade their skills, enhance the companiesâ€™ competence on product development including concept modelling, prototyping and fabrication, and Design for Manufacturing and Assembly (DFMA), expand companiesâ€™ business with wider product range, and help to secure business in this new product regime.","This course lets learners to explore, learn and apply state-of-the-art digital design, modelling and digital fabrication competences in high-value industrial sectors. They will learn in-depth knowledge about product innovation, concept modelling, and fabrication process. This course offers learners hands-on experiences of product design, innovation, and fabrication processes. Over the 42 hours training, learners work individually or in small groups to design a customized and personalized product of their own and build it using various fabrication methods, including 3D printing, laser cutting, foam cutting, polymer joining etc. They develop multiple prototypes throughout the course, iterating and refining their design. Beyond the product design and prototyping, the learner will understand the properties of engineering materials as well as the nature of manufacturing process technologies, and therefore, be able to apply Design for Manufacturing and Assembly (DFMA) guidelines throughout the journey of product design. Similarly important is the study on Quality Management System (QMS), which is always required in complex product development. As a result, the course develops a broad skillset applicable to a range of careers in industry that require both creative thinking as well as digital and technological competences.",Quality Management,Quality System Management,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Healthcare Product Innovation through Lab-on-a-Chip and Advanced Testing Technologies,TGS-2021009130,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-NON-WSQ,"By end of this module, the learner should be able to gain the following knowledge regarding the Sensing and Detection in Lab-on-a-Chip:_x000D_
-	KA1: Basic knowledge about microfluidics, Lab-on-a-Chip, immunoassays and biosensors_x000D_
-	KA2: Know the work principle and application of key microfluidic components in Lab-on-a-Chip_x000D_
-	KA3: Understand the fabrication strategy of microfluidic devices_x000D_
-	KA4: Sensing concept and integration of innovative fabrication technology for novel sensor development _x000D_
-	KA5: Fundamentals of light sources, detectors and light-matter interactions_x000D_
-	KA6: Basic knowledge about optical microscopy, spectroscopy systems, and key optical elements_x000D_
-	KA7: Types of data processing methods to use for different optical data_x000D_
","Point-of-Care Testing (POCT) is increasingly popular in the world and it is particularly useful when patients live a distance away from a hospital laboratory. Microfluidic Lab-on-a-Chip technologies offer three main advantages to POCT diagnostics: smaller sample volumes, lower test costs, and faster turn-around times. These advantages are increasingly being leveraged to develop POCT devices to detect and diagnose a host of conditions, spanning from infectious diseases to cancer. This course module is designed for and targeted at engineers or PMETs who have a degree or background knowledge of medical diagnostic products and interested in the knowledge and skills pertaining to product development of Point-of-Care Testing (POCT). Microfluidic Lab-on-a-Chip (LOC) technologies have become the promising solutions that can meet the requirement of the POCT since they can miniaturize and integrate most of the functional modules used in central laboratories into a small cassette, or cartridge. We propose to cover the knowledge and skills about immune-sensing and optical detection, molecular diagnostics and cellular analysis in the application of miniaturized medical diagnostics, as well as the practical methods about developing new POCT products, which are mostly medical instrument and cartridges or cassettes. Knowledge and skills about building up the quality management system in medical product development will be covered as well. Through our innovative Learn-Practise-Implement plus mentorship training module, which is essentially different from the conventional classroom teaching, we are confident that we are able to deliver the course contents and meet the course objective in total 40 training hours as defined in this module.",Quality Management,Quality System Management,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-NON-WSQ,N
Containers for Deploying and Scaling Smart Manufacturing Services,TGS-2023036569,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-WSQ,"Many manufacturers are small or medium enterprises who still heavily relies on monolithic software systems. This causes a great challenge in embracing technologies like cyber-physical production systems, machine-to-machine communication, or manufacturing execution and intelligence systems (MES). _x000D_
This course is targeted at Delivery Managers, Configuration Managers, Project Leaders, Software Developers, Software Designers and others who need to implement smart manufacturing applications in microservices architecture using containerisation.","Precision Engineering industry is the bedrock of Singaporeâ€™s manufacturing sector. PE ITM, refreshed in 202, remain committed to digitisation and automation through digital manufacturing paradigm. And, with demand from global and regional markets, manufactures are encouraged to embrace this transformation to stay relevant. Smart manufacturing and digital manufacturing involve the integration of advanced technologies into the manufacturing process to improve efficiency, productivity, and profitability. Microservices, a software architecture approach, helps in achieving these goals. _x000D_
Microservices break down an application into smaller, independent services, each with its own set of functionalities and APIs. This architecture allows flexibility to work on individual components independently, making it easier to develop, test, deploy integrate advance I4.0 technologies. In addition, microservices architecture enables horizontal scaling, better fault tolerance and resilience than traditional monolithic architecture.  _x000D_
These benefits are further enhanced when coupled with containerisation technologies. In deploying microservices based solutions: _x000D_
1.	Containerisation provides portability and scalability efficient resource usage required for higher proliferation of the solutions, and_x000D_
2.	Container orchestration platforms provides ease of container management, high availability, fault tolerance, reliability and reliance needed by a real-world operation environment. _x000D_
Overall, microservices and containerisation offer essential benefits that help manage and achieve dynamic nature of smart manufacturing. _x000D_
Many manufacturers are small or medium enterprises who still heavily relies on monolithic software systems. This causes a great challenge in embracing technologies like cyber-physical production systems, machine-to-machine communication, or manufacturing execution and intelligence systems (MES).",Manufacturing and Operations,Manufacturing Technology,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-WSQ,N
Containers for Deploying and Scaling Smart Manufacturing Services,TGS-2023036569,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,53374841X,SSG-WSQ,"Many manufacturers are small or medium enterprises who still heavily relies on monolithic software systems. This causes a great challenge in embracing technologies like cyber-physical production systems, machine-to-machine communication, or manufacturing execution and intelligence systems (MES). _x000D_
This course is targeted at Delivery Managers, Configuration Managers, Project Leaders, Software Developers, Software Designers and others who need to implement smart manufacturing applications in microservices architecture using containerisation.","Precision Engineering industry is the bedrock of Singaporeâ€™s manufacturing sector. PE ITM, refreshed in 202, remain committed to digitisation and automation through digital manufacturing paradigm. And, with demand from global and regional markets, manufactures are encouraged to embrace this transformation to stay relevant. Smart manufacturing and digital manufacturing involve the integration of advanced technologies into the manufacturing process to improve efficiency, productivity, and profitability. Microservices, a software architecture approach, helps in achieving these goals. _x000D_
Microservices break down an application into smaller, independent services, each with its own set of functionalities and APIs. This architecture allows flexibility to work on individual components independently, making it easier to develop, test, deploy integrate advance I4.0 technologies. In addition, microservices architecture enables horizontal scaling, better fault tolerance and resilience than traditional monolithic architecture.  _x000D_
These benefits are further enhanced when coupled with containerisation technologies. In deploying microservices based solutions: _x000D_
1.	Containerisation provides portability and scalability efficient resource usage required for higher proliferation of the solutions, and_x000D_
2.	Container orchestration platforms provides ease of container management, high availability, fault tolerance, reliability and reliance needed by a real-world operation environment. _x000D_
Overall, microservices and containerisation offer essential benefits that help manage and achieve dynamic nature of smart manufacturing. _x000D_
Many manufacturers are small or medium enterprises who still heavily relies on monolithic software systems. This causes a great challenge in embracing technologies like cyber-physical production systems, machine-to-machine communication, or manufacturing execution and intelligence systems (MES).",Manufacturing and Operations,Precision Measurement,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,SSG-WSQ,N
NSA- Digital Basic Photography Level 2: (Night & Lighting) Course,TGS-2020508276,The Photographic Society of Singapore,S61SS0108H,SSG-NON-WSQ,"Participants will be taught the basic theory and fundamentals of photography. At PSS, we believe that it is essential for one to be well-versed in the fundamentals of photography. 

",Participants will be trained to develop a creative approach to capture images with impact.,Productivity and Innovation,Innovation Management,"Photographic Society of Singapore, The",SSG-NON-WSQ,N
NSA- Digital Basic Photography Level 2: (Night & Lighting) Course - Mandarin,TGS-2020508277,The Photographic Society of Singapore,S61SS0108H,SSG-NON-WSQ,"Participants will be taught the basic theory and fundamentals of photography. At PSS, we believe that it is essential for one to be well-versed in the fundamentals of photography.

",Participants will be trained to develop a creative approach to capture images with impact.,Productivity and Innovation,Innovation Management,"Photographic Society of Singapore, The",SSG-NON-WSQ,N
